timestamp,priceChangePercent,volumeRatio
1999-10-13,-2.769918,0.623246
1999-10-14,-1.993315,0.424365
1999-10-15,-0.582671,0.463178
1999-10-18,-5.261534,0.470968
1999-10-19,-4.013008,0.677174
1999-10-20,3.536224,0.802058
1999-10-21,4.658181,0.881661
1999-10-22,2.374670,0.661411
1999-10-25,-4.928587,0.516974
1999-10-26,9.757008,1.194966
1999-10-27,-4.443782,0.527236
1999-10-28,-4.652614,0.575425
1999-10-29,7.928274,0.867189
1999-11-01,6.213351,2.057771
1999-11-02,6.383042,2.040034
1999-11-03,9.749829,4.694641
1999-11-04,6.378463,2.778195
1999-11-05,-3.211805,1.252005
1999-11-08,2.876630,0.934097
1999-11-09,-1.506302,0.545299
1999-11-10,-0.871946,0.289880
1999-11-11,7.047299,1.148126
1999-11-12,5.350703,0.986000
1999-11-15,-1.952966,0.692341
1999-11-16,9.561719,1.364319
1999-11-17,3.817620,1.426525
1999-11-18,0.349706,0.411710
1999-11-19,19.721472,3.826538
1999-11-22,-0.145527,0.818776
1999-11-23,-7.153016,0.818326
1999-11-24,-3.145679,0.598594
1999-11-26,-0.648311,0.104104
1999-11-29,-3.595224,0.437997
1999-11-30,-6.102340,0.462666
1999-12-01,5.054355,0.340357
1999-12-02,7.388438,0.494972
1999-12-03,-2.399879,0.633604
1999-12-06,2.787476,0.360749
1999-12-07,-3.350048,0.393867
1999-12-08,4.455930,0.439393
1999-12-09,-3.001649,0.471885
1999-12-10,-1.140706,0.214149
1999-12-13,-0.328947,0.421820
1999-12-14,-1.652803,0.652204
1999-12-15,-3.193385,0.495680
1999-12-16,-0.694630,0.340257
1999-12-17,5.244438,0.734231
1999-12-20,8.306473,1.123326
1999-12-21,4.294677,1.437799
1999-12-22,2.352568,0.956813
1999-12-23,6.609615,1.132592
1999-12-27,-3.773742,0.839597
1999-12-28,-0.280759,0.723625
1999-12-29,3.370848,0.546843
1999-12-30,0.815976,0.601131
1999-12-31,1.212043,0.557710
2000-01-03,-0.265931,1.372734
2000-01-04,-2.670058,1.383976
2000-01-05,-3.292165,0.843844
2000-01-06,-6.525241,0.539530
2000-01-07,1.669999,0.324678
2000-01-10,3.282929,1.131093
2000-01-11,-4.046463,0.675969
2000-01-12,-2.559588,0.568450
2000-01-13,4.172349,0.629990
2000-01-14,4.302604,2.932719
2000-01-18,4.268288,1.138876
2000-01-19,-0.955566,0.716905
2000-01-20,-0.275036,0.824336
2000-01-21,-1.105317,2.624343
2000-01-24,-4.468539,1.157155
2000-01-25,-0.878056,1.073505
2000-01-26,-4.130014,1.044223
2000-01-27,-5.230689,2.033920
2000-01-28,-2.921153,0.804880
2000-01-31,-0.836096,0.746562
2000-02-01,2.359720,0.376310
2000-02-02,2.801255,0.629722
2000-02-03,1.602456,0.472449
2000-02-04,2.365769,0.549520
2000-02-07,-6.162911,0.965501
2000-02-08,4.761801,2.015768
2000-02-09,2.507457,2.413942
2000-02-10,20.489472,3.645974
2000-02-11,1.523322,1.374185
2000-02-14,15.999308,2.012885
2000-02-15,-3.878896,1.385015
2000-02-16,4.595894,3.046265
2000-02-17,3.537122,1.419506
2000-02-18,11.594792,2.431036
2000-02-22,-2.783470,1.303831
2000-02-23,0.573069,1.188300
2000-02-24,-0.948735,0.550184
2000-02-25,-6.226381,0.626849
2000-02-28,-0.714634,1.188628
2000-02-29,5.349081,0.677307
2000-03-01,-2.929487,0.837407
2000-03-02,-6.740483,0.404256
2000-03-03,1.618040,0.576600
2000-03-06,-0.636753,0.894711
2000-03-07,42.414851,3.917227
2000-03-08,0.824972,1.142942
2000-03-09,19.401137,1.601326
2000-03-10,17.650485,3.523938
2000-03-13,26.483406,3.589475
2000-03-14,-26.214549,2.029704
2000-03-15,-4.086231,1.216689
2000-03-16,-10.843363,0.887444
2000-03-17,6.056353,0.670134
